sentence_number;phenomenon_type_number;phenomenon_type;linguistic_phenomenon_number;linguistic_phenomenon;error_name_number;error_name;problem_source_number;problem_source;correct_sentence;incorrect_sentence;note_exception;note;origin_of_the_sentence;search_source;meta-llama_Llama-4-Scout-17B-16E-Instruct_correct_nll;meta-llama_Llama-4-Scout-17B-16E-Instruct_incorrect_nll;meta-llama_Llama-4-Scout-17B-16E-Instruct_certainty;meta-llama_Llama-4-Scout-17B-16E-Instruct_decision
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Rinkimuose dalyvavo ne mažiau kaip tūkstantis žmonių.;Rinkimuose dalyvavo ne mažiau tūkstančio žmonių.; ;;ChatGPT;;3.959616184234619;4.423825263977051;0.46420907974243164;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Išvykusi būsiu mažiau kaip savaitę.;Išvykusi būsiu mažiau savaitės.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1004;5.519773960113525;5.32011604309082;-0.19965791702270508;incorrect
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Ateik ne anksčiau kaip trečią valandą.;Ateik ne anksčiau trečios valandos.; ;;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;4.069354057312012;5.297025203704834;1.2276711463928223;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Net patys ištvermingiausi pasitraukia iš trasos anksčiau negu kiti.;Net patys ištvermingiausi pasitraukia iš trasos anksčiau laiko.; ;;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;3.9617912769317627;4.028374195098877;0.06658291816711426;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Jam jūra žemiau kelių.;Jam jūra žemiau kaip keliai.;Su kitos reikšmės daiktavardžiais kilmininkas – ne klaida.; ADDED THE INCORRECT ONE, and it is actually incorrect.;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;7.7296142578125;7.817086696624756;0.08747243881225586;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Toliau savo nosies nemato.;Toliau kaip savo nosis nemato.;Su kitos reikšmės daiktavardžiais kilmininkas – ne klaida.; ADDED THE INCORRECT ONE, and it is actually incorrect.;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;8.93177604675293;9.007397651672363;0.0756216049194336;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Lėktuvas nukrito 6 kilometrai šiauriau Talino.;Lėktuvas nukrito 6 kilometrai šiauriau kaip Talinas.;Kilmininkas leistinas, kai kalbama apie vertikalią padėtį.; ADDED THE INCORRECT ONE, and it is actually incorrect.;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;4.025149822235107;4.533323287963867;0.5081734657287598;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Šiame parke auga daugiau nei dešimt medžių.;Šiame parke auga daugiau dešimties medžių.; ; ;ChatGPT;;3.7064993381500244;4.584070682525635;0.8775713443756104;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Susitikimas truks ne ilgiau kaip dvi valandas.;Susitikimas truks ne ilgiau dviejų valandų.; ;;ChatGPT;;4.281356334686279;4.547203063964844;0.26584672927856445;correct
25.0;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Parašyk ne mažiau kaip penkis puslapius.;Parašyk ne mažiau penkių puslapių.; ;;vlkk;;4.186835289001465;4.228055000305176;0.04121971130371094;correct
26.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;1;atitikti kam;Nuorašas atitinka originalą.;Nuorašas atitinka originalui.; ;;vlkk;;7.84550666809082;8.461946487426758;0.6164398193359375;correct
27.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;2;neatitikti kam;Pasiūla dar neatitinka paklausos.;Pasiūla dar neatitinka paklausai.; ;;vlkk;;4.606783390045166;5.664408206939697;1.0576248168945312;correct
28.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;3;kreipti dėmesį kam;Daugiausia dėmesio kreipiame į pažangumą.;Daugiausia dėmesio kreipiame pažangumui.; ;;vlkk;;5.0350847244262695;5.870602130889893;0.835517406463623;correct
29.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;3;kreipti dėmesį kam;Nekreipkite dėmesio į tą šurmulį.;Nekreipkite dėmesio tam šurmuliui.; ;;vlkk;;4.302560329437256;5.9382171630859375;1.6356568336486816;correct
30.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;4;linkti kam;Jis labai linkęs į mokslą.;Jis labai linkęs mokslui.; ;;vlkk;;5.510068893432617;6.731584548950195;1.2215156555175781;correct
31.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;5;panašus, -i kam;Sūnus labai panašus į tėvą.;Sūnus labai panašus tėvui.; ;;vlkk;;3.1303350925445557;4.212095737457275;1.0817606449127197;correct
32.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;6;prisitaikyti kam;Mums bus nelengva prisitaikyti prie naujų sąlygų.;Mums bus nelengva prisitaikyti naujoms sąlygoms.; ;;vlkk;;4.193837642669678;4.7555766105651855;0.5617389678955078;correct
33.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;7;sutelkti dėmesį kam;Dabar sutelkime dėmesį į šią schemą.;Dabar sutelkime dėmesį šiai schemai.; ;;vlkk;;3.5900466442108154;5.175048351287842;1.5850017070770264;correct
;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;8;užjausti kam;Jis užjautė nelaimę patyrusius kaimynus.;Jis užjautė nelaimę patyrusiems kaimynams.; ;;ChatGPT;;3.8013243675231934;3.9209845066070557;0.1196601390838623;correct
34.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;8;užjausti kam;Visi užjautėme bendradarbę.;Visi užjautėme bendradarbei.; ;;vlkk;;5.8024468421936035;6.174383163452148;0.3719363212585449;correct
35.0;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Jis yra 50 km distancijos čempionas.;Jis yra čempionas 50 km distancijai.; ;;vlkk;;4.712449073791504;4.801971435546875;0.0895223617553711;correct
36.0;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Padarytas 200 litų sumos nuostolis.;Padarytas nuostolis 200 litų sumai.; ;;vlkk;;5.931686878204346;5.743558406829834;-0.18812847137451172;incorrect
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;"Vilnietis Arūnas Černius tapo konkurso „Geriausias vairuotojas-2002"" nugalėtoju.";"Vilnietis Arūnas Černius tapo nugalėtojas konkursui „Geriausias vairuotojas-2002""."; ;;corpus;http://tekstynas.vdu.lt/tekstynas/;3.390672445297241;3.9165236949920654;0.5258512496948242;correct
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Vakar buvo išduotas leidimas steigti ligoninę.;Vakar buvo išduotas leidimas ligoninei steigti.; ;;internet;http://web.vu.lt › flf › 2014/03 › SK_2015_linksniai;5.447745323181152;5.61093807220459;0.1631927490234375;correct
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Jis laimėjo 1000 eurų vertės prizą.;Jis laimėjo prizą 1000 eurų vertei.; ;;ChatGPT;;3.710810422897339;4.15006685256958;0.4392564296722412;correct
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Įsigijome 2 hektarus žemės sklypo.;Įsigijome žemės sklypą 2 hektarams.; ;;ChatGPT;;4.850744724273682;4.579068183898926;-0.27167654037475586;incorrect
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Ji pelnė metų mokytojos apdovanojimą.;Ji pelnė apdovanojimą metų mokytojai.; ;;ChatGPT;;5.473711967468262;5.711824417114258;0.2381124496459961;correct
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Jis gavo 10 metų darbo patirties sertifikatą.;Jis gavo sertifikatą 10 metų patirčiai.; ;;ChatGPT;;4.892908096313477;5.819212913513184;0.926304817199707;correct
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Restoranas gavo penkių žvaigždučių įvertinimą.;Restoranas gavo įvertinimą penkioms žvaigždutėms.; ;;ChatGPT;;3.4759514331817627;3.761977434158325;0.2860260009765625;correct
37.0;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Atlikta darbų už 5000 litų sumą.;Atlikta darbų 5000 litų sumai.; ;;vlkk;;5.282829284667969;5.363578796386719;0.08074951171875;correct
38.0;1;Use of Cases;3;3.3 Dative case;3;3.3.3 Dative case should not be used for indicating a specific time limit or moment when purpose is not being expressed.;1;;Iki šios dienos įregistruoti 775 laikraščiai.;Šiai dienai įregistruoti 775 laikraščiai.; ;;vlkk;;4.870083808898926;4.886709213256836;0.016625404357910156;correct
39.0;1;Use of Cases;3;3.3 Dative case;3;3.3.3 Dative case should not be used for indicating a specific time limit or moment when purpose is not being expressed.;1;;Iki spalio 25-os dienos nukasta 90% bulvių.;Spalio 25-ai dienai nukasta 90% bulvių.; ;;vlkk;;5.445858955383301;5.225320339202881;-0.22053861618041992;incorrect
40.0;1;Use of Cases;3;3.3 Dative case;3;3.3.3 Dative case should not be used for indicating a specific time limit or moment when purpose is not being expressed.;1;;Šią valandą rinkimų rezultatai dar nepatikslinti.;Šiai valandai rinkimų rezultatai dar nepatikslinti.; ;;vlkk;;3.873520612716675;4.845164775848389;0.9716441631317139;correct
