sentence_number;phenomenon_type_number;phenomenon_type;linguistic_phenomenon_number;linguistic_phenomenon;error_name_number;error_name;problem_source_number;problem_source;correct_sentence;incorrect_sentence;note_exception;note;origin_of_the_sentence;search_source;BSC-LT_salamandra-2b-instruct_correct_nll;BSC-LT_salamandra-2b-instruct_incorrect_nll;BSC-LT_salamandra-2b-instruct_certainty;BSC-LT_salamandra-2b-instruct_decision
10.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;5;kilti;Dėl projekto kilo visokių abejonių.;Dėl projekto kilo visokios abejonės.; ;;vlkk;;8.232291221618652;8.424120903015137;0.19182968139648438;correct
11.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;5;kilti;Pasitarime iškilo naujų klausimų dėl darbo sutarčių.;Pasitarime iškilo nauji klausimai dėl darbo sutarčių.; ;;vlkk;;6.5799479484558105;6.480061054229736;-0.09988689422607422;incorrect
;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;5;kilti;Posėdyje dažnai kyla ginčų.;Posėdyje dažnai kyla ginčai.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1004;6.1961774826049805;6.265063285827637;0.06888580322265625;correct
12.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;6;mažėti;Nelaimingų atsitikimų buityje nemažėja.;Nelaimingi atsitikimai buityje nemažėja.; ;;vlkk;;5.950178623199463;6.842427730560303;0.8922491073608398;correct
13.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;6;mažėti;Šiemet ūkyje sumažėjo karvių ir kiaulių.;Šiemet ūkyje sumažėjo karvės ir kiaulės.; ;;vlkk;;7.027603626251221;7.087001323699951;0.05939769744873047;correct
14.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;7;pasitaikyti;Gyvenime pasitaiko įvairių nesusipratimų.;Gyvenime pasitaiko įvairūs nesusipratimai.; ;;vlkk;;4.656398296356201;4.78820276260376;0.1318044662475586;correct
15.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;7;pasitaikyti;Mokinio rašiniuose vis pasitaiko skyrybos klaidų.;Mokinio rašiniuose vis pasitaiko skyrybos klaidos.; ;;vlkk;;7.488460540771484;7.618635654449463;0.13017511367797852;correct
16.0;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Vairuotojau, atidarykit duris.;Vairuotojas, atidarykit duris.; ;;vlkk;;6.426698207855225;6.086050033569336;-0.34064817428588867;incorrect
17.0;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Birute, jus kviečia direktorius.;Birutė, jus kviečia direktorius.; ;;vlkk;;8.370980262756348;8.034923553466797;-0.3360567092895508;incorrect
18.0;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Gerbiamasis pranešėjau, jums liko 10 minučių.;Gerbiamasis pranešėjas, jums liko 10 minučių.; ;;vlkk;;5.6287031173706055;4.930632591247559;-0.6980705261230469;incorrect
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Skaitytojau, parašykite savo nuomonę komentaruose.;Skaitytojas, parašykite savo nuomonę komentaruose.; ;;ChatGPT;;5.900327682495117;5.972904205322266;0.07257652282714844;correct
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Drauge, paskambink man, kai grįši namo.;Draugė, paskambink man, kai grįši namo.; ;;ChatGPT;;4.999117374420166;4.399988651275635;-0.5991287231445312;incorrect
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Daktare, gal galite paaiškinti tyrimų rezultatus?;Daktaras, gal galite paaiškinti tyrimų rezultatus?; ;;ChatGPT;;6.915591239929199;6.261265754699707;-0.6543254852294922;incorrect
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Direktoriau, ar galėtumėte trumpai užsukti į salę?;Direktorius, ar galėtumėte trumpai užsukti į salę?; ;;ChatGPT;;6.3201518058776855;5.469459533691406;-0.8506922721862793;incorrect
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Mindaugai, ar sudarei sąmatą?;Mindaugas, ar sudarei sąmatą?; ;;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;8.681833267211914;8.023073196411133;-0.6587600708007812;incorrect
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Tėti, ateik į virtuvę paragauti sriubos.;Tėtis, ateik į virtuvę paragauti sriubos.; ;;ChatGPT;;4.530181407928467;4.053822040557861;-0.47635936737060547;incorrect
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Kas tavo mama, berniuk?;Kas tavo mama, berniukas?; ;;corpus;http://tekstynas.vdu.lt/tekstynas/;7.096951007843018;7.020023822784424;-0.07692718505859375;incorrect
19.0;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Ponas pirmininke, čia reikia jūsų parašo.;Pone pirmininke, čia reikia jūsų parašo.;Priedėliu einančio daiktavardžio ponas vardininkas – ne klaida.; ;vlkk;;6.040188312530518;7.247730731964111;1.2075424194335938;correct
20.0;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;1;prieiti ko;Priėjome išvadą.;Priėjome išvados.; ;;vlkk;;10.118712425231934;10.063145637512207;-0.05556678771972656;incorrect
21.0;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;1;prieiti ko;Priėjo bendrą nuomonę.;Priėjo bendros nuomonės.; ;;vlkk;;9.643409729003906;9.051055908203125;-0.5923538208007812;incorrect
22.0;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;2;siekti ko (kiekio reikšme);Žuvies svoris siekė kilogramą.;Žuvies svoris siekė kilogramo.; ;;vlkk;;7.942841529846191;8.08017349243164;0.13733196258544922;correct
;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;1;prieiti ko;Priėjome sprendimą, kad reikia keisti planą.;Priėjome sprendimo, kad reikia keisti planą.; ;;ChatGPT;;6.430969715118408;6.4208760261535645;-0.01009368896484375;incorrect
;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;1;prieiti ko;Dalyviai priėjo šalutinį kelią.;Dalyviai priėjo šalutinio kelio.; ;;ChatGPT;;6.919344902038574;6.678531646728516;-0.2408132553100586;incorrect
;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;1;prieiti ko;Tyrėjai priėjo priežastį, kodėl eksperimentas nepavyko.;Tyrėjai priėjo priežasties, kodėl eksperimentas nepavyko.; ;;ChatGPT;;5.490017890930176;5.764292240142822;0.2742743492126465;correct
;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;2;siekti ko (kiekio reikšme);Vandens gylis siekia penkis metrus.;Vandens gylis siekia penkių metrų.; ;;ChatGPT;;6.487610816955566;6.547151565551758;0.059540748596191406;correct
;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;2;siekti ko (kiekio reikšme);Sienos storis siekia pusę metro.;Sienos storis siekia pusės metro.; ;;ChatGPT;;7.099248886108398;8.099757194519043;1.0005083084106445;correct
;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;2;siekti ko (kiekio reikšme);Oro temperatūra sieks šešis laipsnius šilumos.;Oro temperatūra sieks šešių laipsnių šilumos.; ;;corpus;http://tekstynas.vdu.lt/tekstynas/;8.060474395751953;9.584213256835938;1.5237388610839844;correct
23.0;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;2;siekti ko (kiekio reikšme);Jo ūgis siekia du metrus.;Jo ūgis siekia dviejų metrų.; ;;vlkk;;6.931516170501709;6.917818546295166;-0.013697624206542969;incorrect
24.0;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1; ;Čia telpa daugiau kaip šimtas žmonių.;Čia telpa daugiau šimto žmonių.; ;;vlkk;;8.104572296142578;9.615164756774902;1.5105924606323242;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Grįšiu ne vėliau kaip penktadienį.;Grįšiu ne vėliau penktadienio.; ;;vlkk-extra;https://vlkk.lt/konsultacijos/1138-ne-ilgiau-ko;5.003787040710449;7.062333106994629;2.0585460662841797;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Krovinys sveria daugiau nei toną.;Krovinys sveria daugiau tonos.; ;;vlkk-extra;https://vlkk.lt/konsultacijos/1138-ne-ilgiau-ko;4.928255558013916;6.792662143707275;1.8644065856933594;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Kelionė truks ne ilgiau kaip tris dienas.;Kelionė truks ne ilgiau trijų dienų.; ;;vlkk-extra;https://vlkk.lt/konsultacijos/1138-ne-ilgiau-ko;5.795895576477051;7.211658954620361;1.4157633781433105;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Nukeliavo ne mažiau kaip tris šimtus kilometrų. ;Nukeliavo ne mažiau trijų šimtų kilometrų. ; ;;vlkk-extra;https://vlkk.lt/konsultacijos/11178-ne-mazesnis-nemaziau-ne-maziau-nemaziau;6.010178565979004;6.425510406494141;0.4153318405151367;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Bibliotekoje yra daugiau nei penkiasdešimt knygų.;Bibliotekoje yra daugiau penkiasdešimties knygų.; ;;ChatGPT;;3.569415330886841;3.6371307373046875;0.06771540641784668;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Rinkimuose dalyvavo ne mažiau kaip tūkstantis žmonių.;Rinkimuose dalyvavo ne mažiau tūkstančio žmonių.; ;;ChatGPT;;5.329165935516357;6.435230255126953;1.1060643196105957;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Išvykusi būsiu mažiau kaip savaitę.;Išvykusi būsiu mažiau savaitės.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1004;7.64990758895874;9.078043937683105;1.4281363487243652;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Ateik ne anksčiau kaip trečią valandą.;Ateik ne anksčiau trečios valandos.; ;;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;6.670048236846924;6.87225866317749;0.2022104263305664;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Net patys ištvermingiausi pasitraukia iš trasos anksčiau negu kiti.;Net patys ištvermingiausi pasitraukia iš trasos anksčiau laiko.; ;;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;5.483258247375488;5.729664325714111;0.24640607833862305;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Jam jūra žemiau kelių.;Jam jūra žemiau kaip keliai.;Su kitos reikšmės daiktavardžiais kilmininkas – ne klaida.; ADDED THE INCORRECT ONE, and it is actually incorrect.;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;11.041924476623535;9.52369213104248;-1.5182323455810547;incorrect
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Toliau savo nosies nemato.;Toliau kaip savo nosis nemato.;Su kitos reikšmės daiktavardžiais kilmininkas – ne klaida.; ADDED THE INCORRECT ONE, and it is actually incorrect.;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;8.467020034790039;7.770661354064941;-0.6963586807250977;incorrect
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Lėktuvas nukrito 6 kilometrai šiauriau Talino.;Lėktuvas nukrito 6 kilometrai šiauriau kaip Talinas.;Kilmininkas leistinas, kai kalbama apie vertikalią padėtį.; ADDED THE INCORRECT ONE, and it is actually incorrect.;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;3.605821132659912;4.429903030395508;0.8240818977355957;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Šiame parke auga daugiau nei dešimt medžių.;Šiame parke auga daugiau dešimties medžių.; ; ;ChatGPT;;5.979781627655029;7.422751426696777;1.442969799041748;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Susitikimas truks ne ilgiau kaip dvi valandas.;Susitikimas truks ne ilgiau dviejų valandų.; ;;ChatGPT;;4.940990924835205;6.098457336425781;1.1574664115905762;correct
25.0;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Parašyk ne mažiau kaip penkis puslapius.;Parašyk ne mažiau penkių puslapių.; ;;vlkk;;4.351687908172607;5.0460944175720215;0.6944065093994141;correct
26.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;1;atitikti kam;Nuorašas atitinka originalą.;Nuorašas atitinka originalui.; ;;vlkk;;7.5554423332214355;8.40511417388916;0.8496718406677246;correct
27.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;2;neatitikti kam;Pasiūla dar neatitinka paklausos.;Pasiūla dar neatitinka paklausai.; ;;vlkk;;8.948813438415527;9.932958602905273;0.9841451644897461;correct
28.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;3;kreipti dėmesį kam;Daugiausia dėmesio kreipiame į pažangumą.;Daugiausia dėmesio kreipiame pažangumui.; ;;vlkk;;8.442281723022461;10.153487205505371;1.7112054824829102;correct
29.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;3;kreipti dėmesį kam;Nekreipkite dėmesio į tą šurmulį.;Nekreipkite dėmesio tam šurmuliui.; ;;vlkk;;6.436100959777832;6.656845569610596;0.22074460983276367;correct
30.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;4;linkti kam;Jis labai linkęs į mokslą.;Jis labai linkęs mokslui.; ;;vlkk;;6.011748313903809;6.862802982330322;0.8510546684265137;correct
31.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;5;panašus, -i kam;Sūnus labai panašus į tėvą.;Sūnus labai panašus tėvui.; ;;vlkk;;4.202658653259277;6.55350923538208;2.3508505821228027;correct
32.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;6;prisitaikyti kam;Mums bus nelengva prisitaikyti prie naujų sąlygų.;Mums bus nelengva prisitaikyti naujoms sąlygoms.; ;;vlkk;;8.008529663085938;7.8571648597717285;-0.15136480331420898;incorrect
33.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;7;sutelkti dėmesį kam;Dabar sutelkime dėmesį į šią schemą.;Dabar sutelkime dėmesį šiai schemai.; ;;vlkk;;5.512564659118652;7.4591064453125;1.9465417861938477;correct
;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;8;užjausti kam;Jis užjautė nelaimę patyrusius kaimynus.;Jis užjautė nelaimę patyrusiems kaimynams.; ;;ChatGPT;;5.884680271148682;5.643894195556641;-0.24078607559204102;incorrect
34.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;8;užjausti kam;Visi užjautėme bendradarbę.;Visi užjautėme bendradarbei.; ;;vlkk;;10.57839298248291;10.222638130187988;-0.3557548522949219;incorrect
35.0;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Jis yra 50 km distancijos čempionas.;Jis yra čempionas 50 km distancijai.; ;;vlkk;;5.210098743438721;5.032177925109863;-0.17792081832885742;incorrect
36.0;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Padarytas 200 litų sumos nuostolis.;Padarytas nuostolis 200 litų sumai.; ;;vlkk;;5.1959710121154785;4.9917192459106445;-0.20425176620483398;incorrect
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;"Vilnietis Arūnas Černius tapo konkurso „Geriausias vairuotojas-2002"" nugalėtoju.";"Vilnietis Arūnas Černius tapo nugalėtojas konkursui „Geriausias vairuotojas-2002""."; ;;corpus;http://tekstynas.vdu.lt/tekstynas/;4.682573318481445;5.284464359283447;0.601891040802002;correct
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Vakar buvo išduotas leidimas steigti ligoninę.;Vakar buvo išduotas leidimas ligoninei steigti.; ;;internet;http://web.vu.lt › flf › 2014/03 › SK_2015_linksniai;6.153122901916504;6.272583961486816;0.1194610595703125;correct
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Jis laimėjo 1000 eurų vertės prizą.;Jis laimėjo prizą 1000 eurų vertei.; ;;ChatGPT;;4.255311965942383;4.962998390197754;0.7076864242553711;correct
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Įsigijome 2 hektarus žemės sklypo.;Įsigijome žemės sklypą 2 hektarams.; ;;ChatGPT;;4.51807975769043;4.490189075469971;-0.027890682220458984;incorrect
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Ji pelnė metų mokytojos apdovanojimą.;Ji pelnė apdovanojimą metų mokytojai.; ;;ChatGPT;;5.47706413269043;7.219420433044434;1.742356300354004;correct
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Jis gavo 10 metų darbo patirties sertifikatą.;Jis gavo sertifikatą 10 metų patirčiai.; ;;ChatGPT;;6.068341255187988;6.560431003570557;0.49208974838256836;correct
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Restoranas gavo penkių žvaigždučių įvertinimą.;Restoranas gavo įvertinimą penkioms žvaigždutėms.; ;;ChatGPT;;3.478705406188965;5.009757995605469;1.531052589416504;correct
37.0;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Atlikta darbų už 5000 litų sumą.;Atlikta darbų 5000 litų sumai.; ;;vlkk;;5.268068790435791;5.691929340362549;0.4238605499267578;correct
38.0;1;Use of Cases;3;3.3 Dative case;3;3.3.3 Dative case should not be used for indicating a specific time limit or moment when purpose is not being expressed.;1;;Iki šios dienos įregistruoti 775 laikraščiai.;Šiai dienai įregistruoti 775 laikraščiai.; ;;vlkk;;6.789805889129639;6.889425754547119;0.09961986541748047;correct
39.0;1;Use of Cases;3;3.3 Dative case;3;3.3.3 Dative case should not be used for indicating a specific time limit or moment when purpose is not being expressed.;1;;Iki spalio 25-os dienos nukasta 90% bulvių.;Spalio 25-ai dienai nukasta 90% bulvių.; ;;vlkk;;5.523221015930176;5.309480667114258;-0.21374034881591797;incorrect
40.0;1;Use of Cases;3;3.3 Dative case;3;3.3.3 Dative case should not be used for indicating a specific time limit or moment when purpose is not being expressed.;1;;Šią valandą rinkimų rezultatai dar nepatikslinti.;Šiai valandai rinkimų rezultatai dar nepatikslinti.; ;;vlkk;;7.5080885887146;6.691371917724609;-0.8167166709899902;incorrect
