sentence_number;phenomenon_type_number;phenomenon_type;linguistic_phenomenon_number;linguistic_phenomenon;error_name_number;error_name;problem_source_number;problem_source;correct_sentence;incorrect_sentence;note_exception;note;origin_of_the_sentence;search_source;microsoft_Phi-3-medium-4k-instruct_correct_nll;microsoft_Phi-3-medium-4k-instruct_incorrect_nll;microsoft_Phi-3-medium-4k-instruct_certainty;microsoft_Phi-3-medium-4k-instruct_decision
;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;5;kilti;Posėdyje dažnai kyla ginčų.;Posėdyje dažnai kyla ginčai.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1004;5.643367290496826;5.498674392700195;-0.14469289779663086;incorrect
12.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;6;mažėti;Nelaimingų atsitikimų buityje nemažėja.;Nelaimingi atsitikimai buityje nemažėja.; ;;vlkk;;5.326119899749756;5.353318691253662;0.02719879150390625;correct
13.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;6;mažėti;Šiemet ūkyje sumažėjo karvių ir kiaulių.;Šiemet ūkyje sumažėjo karvės ir kiaulės.; ;;vlkk;;5.40500545501709;4.560220241546631;-0.844785213470459;incorrect
14.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;7;pasitaikyti;Gyvenime pasitaiko įvairių nesusipratimų.;Gyvenime pasitaiko įvairūs nesusipratimai.; ;;vlkk;;3.5531435012817383;3.7963614463806152;0.24321794509887695;correct
15.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;7;pasitaikyti;Mokinio rašiniuose vis pasitaiko skyrybos klaidų.;Mokinio rašiniuose vis pasitaiko skyrybos klaidos.; ;;vlkk;;5.639249801635742;5.861385345458984;0.2221355438232422;correct
16.0;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Vairuotojau, atidarykit duris.;Vairuotojas, atidarykit duris.; ;;vlkk;;6.129410743713379;6.70549201965332;0.5760812759399414;correct
17.0;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Birute, jus kviečia direktorius.;Birutė, jus kviečia direktorius.; ;;vlkk;;5.228824138641357;4.519136905670166;-0.7096872329711914;incorrect
18.0;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Gerbiamasis pranešėjau, jums liko 10 minučių.;Gerbiamasis pranešėjas, jums liko 10 minučių.; ;;vlkk;;4.493350028991699;4.5151686668396;0.02181863784790039;correct
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Skaitytojau, parašykite savo nuomonę komentaruose.;Skaitytojas, parašykite savo nuomonę komentaruose.; ;;ChatGPT;;4.871527671813965;4.710622787475586;-0.1609048843383789;incorrect
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Drauge, paskambink man, kai grįši namo.;Draugė, paskambink man, kai grįši namo.; ;;ChatGPT;;5.421856880187988;4.880507469177246;-0.5413494110107422;incorrect
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Daktare, gal galite paaiškinti tyrimų rezultatus?;Daktaras, gal galite paaiškinti tyrimų rezultatus?; ;;ChatGPT;;5.260673522949219;4.353355884552002;-0.9073176383972168;incorrect
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Direktoriau, ar galėtumėte trumpai užsukti į salę?;Direktorius, ar galėtumėte trumpai užsukti į salę?; ;;ChatGPT;;3.783400774002075;3.97642183303833;0.19302105903625488;correct
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Mindaugai, ar sudarei sąmatą?;Mindaugas, ar sudarei sąmatą?; ;;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;7.655517578125;6.761612415313721;-0.8939051628112793;incorrect
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Tėti, ateik į virtuvę paragauti sriubos.;Tėtis, ateik į virtuvę paragauti sriubos.; ;;ChatGPT;;4.619072914123535;4.6258063316345215;0.006733417510986328;correct
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Kas tavo mama, berniuk?;Kas tavo mama, berniukas?; ;;corpus;http://tekstynas.vdu.lt/tekstynas/;5.483450889587402;4.983684539794922;-0.49976634979248047;incorrect
19.0;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Ponas pirmininke, čia reikia jūsų parašo.;Pone pirmininke, čia reikia jūsų parašo.;Priedėliu einančio daiktavardžio ponas vardininkas – ne klaida.; ;vlkk;;4.529781341552734;4.936992645263672;0.4072113037109375;correct
20.0;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;1;prieiti ko;Priėjome išvadą.;Priėjome išvados.; ;;vlkk;;4.412624835968018;5.340394020080566;0.9277691841125488;correct
21.0;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;1;prieiti ko;Priėjo bendrą nuomonę.;Priėjo bendros nuomonės.; ;;vlkk;;4.147705078125;4.9407477378845215;0.7930426597595215;correct
22.0;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;2;siekti ko (kiekio reikšme);Žuvies svoris siekė kilogramą.;Žuvies svoris siekė kilogramo.; ;;vlkk;;7.3237996101379395;7.156104564666748;-0.1676950454711914;incorrect
;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;1;prieiti ko;Priėjome sprendimą, kad reikia keisti planą.;Priėjome sprendimo, kad reikia keisti planą.; ;;ChatGPT;;4.028189182281494;4.4244232177734375;0.39623403549194336;correct
;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;1;prieiti ko;Dalyviai priėjo šalutinį kelią.;Dalyviai priėjo šalutinio kelio.; ;;ChatGPT;;5.308751583099365;5.1751909255981445;-0.1335606575012207;incorrect
;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;1;prieiti ko;Tyrėjai priėjo priežastį, kodėl eksperimentas nepavyko.;Tyrėjai priėjo priežasties, kodėl eksperimentas nepavyko.; ;;ChatGPT;;3.780808687210083;3.8518290519714355;0.07102036476135254;correct
;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;2;siekti ko (kiekio reikšme);Vandens gylis siekia penkis metrus.;Vandens gylis siekia penkių metrų.; ;;ChatGPT;;6.949002742767334;6.57921838760376;-0.3697843551635742;incorrect
;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;2;siekti ko (kiekio reikšme);Sienos storis siekia pusę metro.;Sienos storis siekia pusės metro.; ;;ChatGPT;;7.166167736053467;7.038845062255859;-0.12732267379760742;incorrect
;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;2;siekti ko (kiekio reikšme);Oro temperatūra sieks šešis laipsnius šilumos.;Oro temperatūra sieks šešių laipsnių šilumos.; ;;corpus;http://tekstynas.vdu.lt/tekstynas/;5.341307163238525;4.698027610778809;-0.6432795524597168;incorrect
23.0;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;2;siekti ko (kiekio reikšme);Jo ūgis siekia du metrus.;Jo ūgis siekia dviejų metrų.; ;;vlkk;;6.7859272956848145;5.186220645904541;-1.5997066497802734;incorrect
24.0;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1; ;Čia telpa daugiau kaip šimtas žmonių.;Čia telpa daugiau šimto žmonių.; ;;vlkk;;3.266529083251953;4.004088401794434;0.7375593185424805;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Grįšiu ne vėliau kaip penktadienį.;Grįšiu ne vėliau penktadienio.; ;;vlkk-extra;https://vlkk.lt/konsultacijos/1138-ne-ilgiau-ko;3.848543882369995;4.452176570892334;0.6036326885223389;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Krovinys sveria daugiau nei toną.;Krovinys sveria daugiau tonos.; ;;vlkk-extra;https://vlkk.lt/konsultacijos/1138-ne-ilgiau-ko;5.602944850921631;5.610313892364502;0.007369041442871094;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Kelionė truks ne ilgiau kaip tris dienas.;Kelionė truks ne ilgiau trijų dienų.; ;;vlkk-extra;https://vlkk.lt/konsultacijos/1138-ne-ilgiau-ko;5.510571479797363;5.273419380187988;-0.237152099609375;incorrect
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Nukeliavo ne mažiau kaip tris šimtus kilometrų. ;Nukeliavo ne mažiau trijų šimtų kilometrų. ; ;;vlkk-extra;https://vlkk.lt/konsultacijos/11178-ne-mazesnis-nemaziau-ne-maziau-nemaziau;4.645504474639893;4.738633632659912;0.09312915802001953;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Bibliotekoje yra daugiau nei penkiasdešimt knygų.;Bibliotekoje yra daugiau penkiasdešimties knygų.; ;;ChatGPT;;2.7973055839538574;3.1080830097198486;0.3107774257659912;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Rinkimuose dalyvavo ne mažiau kaip tūkstantis žmonių.;Rinkimuose dalyvavo ne mažiau tūkstančio žmonių.; ;;ChatGPT;;4.629763603210449;5.17765474319458;0.5478911399841309;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Išvykusi būsiu mažiau kaip savaitę.;Išvykusi būsiu mažiau savaitės.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1004;4.390191078186035;4.479496479034424;0.08930540084838867;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Ateik ne anksčiau kaip trečią valandą.;Ateik ne anksčiau trečios valandos.; ;;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;4.697022438049316;5.119103908538818;0.42208147048950195;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Net patys ištvermingiausi pasitraukia iš trasos anksčiau negu kiti.;Net patys ištvermingiausi pasitraukia iš trasos anksčiau laiko.; ;;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;4.939894676208496;4.899044990539551;-0.04084968566894531;incorrect
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Jam jūra žemiau kelių.;Jam jūra žemiau kaip keliai.;Su kitos reikšmės daiktavardžiais kilmininkas – ne klaida.; ADDED THE INCORRECT ONE, and it is actually incorrect.;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;6.6143903732299805;5.934665679931641;-0.6797246932983398;incorrect
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Toliau savo nosies nemato.;Toliau kaip savo nosis nemato.;Su kitos reikšmės daiktavardžiais kilmininkas – ne klaida.; ADDED THE INCORRECT ONE, and it is actually incorrect.;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;7.986264705657959;7.525701522827148;-0.46056318283081055;incorrect
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Lėktuvas nukrito 6 kilometrai šiauriau Talino.;Lėktuvas nukrito 6 kilometrai šiauriau kaip Talinas.;Kilmininkas leistinas, kai kalbama apie vertikalią padėtį.; ADDED THE INCORRECT ONE, and it is actually incorrect.;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;6.413605213165283;5.655812740325928;-0.7577924728393555;incorrect
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Šiame parke auga daugiau nei dešimt medžių.;Šiame parke auga daugiau dešimties medžių.; ; ;ChatGPT;;4.4674882888793945;4.3787994384765625;-0.08868885040283203;incorrect
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Susitikimas truks ne ilgiau kaip dvi valandas.;Susitikimas truks ne ilgiau dviejų valandų.; ;;ChatGPT;;4.7626824378967285;4.707809925079346;-0.05487251281738281;incorrect
25.0;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Parašyk ne mažiau kaip penkis puslapius.;Parašyk ne mažiau penkių puslapių.; ;;vlkk;;4.20220947265625;3.920870065689087;-0.2813394069671631;incorrect
26.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;1;atitikti kam;Nuorašas atitinka originalą.;Nuorašas atitinka originalui.; ;;vlkk;;6.101357460021973;6.407951354980469;0.3065938949584961;correct
27.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;2;neatitikti kam;Pasiūla dar neatitinka paklausos.;Pasiūla dar neatitinka paklausai.; ;;vlkk;;5.98110818862915;6.408875942230225;0.4277677536010742;correct
28.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;3;kreipti dėmesį kam;Daugiausia dėmesio kreipiame į pažangumą.;Daugiausia dėmesio kreipiame pažangumui.; ;;vlkk;;4.387976169586182;4.958488464355469;0.5705122947692871;correct
29.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;3;kreipti dėmesį kam;Nekreipkite dėmesio į tą šurmulį.;Nekreipkite dėmesio tam šurmuliui.; ;;vlkk;;5.338646411895752;6.19561243057251;0.8569660186767578;correct
30.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;4;linkti kam;Jis labai linkęs į mokslą.;Jis labai linkęs mokslui.; ;;vlkk;;4.277587890625;5.305121898651123;1.027534008026123;correct
31.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;5;panašus, -i kam;Sūnus labai panašus į tėvą.;Sūnus labai panašus tėvui.; ;;vlkk;;4.279593467712402;4.525585651397705;0.24599218368530273;correct
32.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;6;prisitaikyti kam;Mums bus nelengva prisitaikyti prie naujų sąlygų.;Mums bus nelengva prisitaikyti naujoms sąlygoms.; ;;vlkk;;5.695015907287598;6.603910446166992;0.9088945388793945;correct
33.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;7;sutelkti dėmesį kam;Dabar sutelkime dėmesį į šią schemą.;Dabar sutelkime dėmesį šiai schemai.; ;;vlkk;;5.043478965759277;5.685886383056641;0.6424074172973633;correct
;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;8;užjausti kam;Jis užjautė nelaimę patyrusius kaimynus.;Jis užjautė nelaimę patyrusiems kaimynams.; ;;ChatGPT;;5.343266010284424;4.995516300201416;-0.3477497100830078;incorrect
34.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;8;užjausti kam;Visi užjautėme bendradarbę.;Visi užjautėme bendradarbei.; ;;vlkk;;5.155066013336182;5.77681303024292;0.6217470169067383;correct
35.0;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Jis yra 50 km distancijos čempionas.;Jis yra čempionas 50 km distancijai.; ;;vlkk;;4.825716495513916;4.378859996795654;-0.4468564987182617;incorrect
36.0;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Padarytas 200 litų sumos nuostolis.;Padarytas nuostolis 200 litų sumai.; ;;vlkk;;4.431514263153076;5.267928123474121;0.8364138603210449;correct
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;"Vilnietis Arūnas Černius tapo konkurso „Geriausias vairuotojas-2002"" nugalėtoju.";"Vilnietis Arūnas Černius tapo nugalėtojas konkursui „Geriausias vairuotojas-2002""."; ;;corpus;http://tekstynas.vdu.lt/tekstynas/;3.8875246047973633;3.794790267944336;-0.09273433685302734;incorrect
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Vakar buvo išduotas leidimas steigti ligoninę.;Vakar buvo išduotas leidimas ligoninei steigti.; ;;internet;http://web.vu.lt › flf › 2014/03 › SK_2015_linksniai;3.694868564605713;3.9112701416015625;0.2164015769958496;correct
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Jis laimėjo 1000 eurų vertės prizą.;Jis laimėjo prizą 1000 eurų vertei.; ;;ChatGPT;;4.288932800292969;4.816193103790283;0.5272603034973145;correct
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Įsigijome 2 hektarus žemės sklypo.;Įsigijome žemės sklypą 2 hektarams.; ;;ChatGPT;;4.893349647521973;4.103170871734619;-0.7901787757873535;incorrect
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Ji pelnė metų mokytojos apdovanojimą.;Ji pelnė apdovanojimą metų mokytojai.; ;;ChatGPT;;3.8848190307617188;3.782358169555664;-0.10246086120605469;incorrect
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Jis gavo 10 metų darbo patirties sertifikatą.;Jis gavo sertifikatą 10 metų patirčiai.; ;;ChatGPT;;4.785150527954102;5.34545373916626;0.5603032112121582;correct
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Restoranas gavo penkių žvaigždučių įvertinimą.;Restoranas gavo įvertinimą penkioms žvaigždutėms.; ;;ChatGPT;;4.515077114105225;4.7658891677856445;0.2508120536804199;correct
37.0;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Atlikta darbų už 5000 litų sumą.;Atlikta darbų 5000 litų sumai.; ;;vlkk;;4.374398231506348;4.852365016937256;0.4779667854309082;correct
38.0;1;Use of Cases;3;3.3 Dative case;3;3.3.3 Dative case should not be used for indicating a specific time limit or moment when purpose is not being expressed.;1;;Iki šios dienos įregistruoti 775 laikraščiai.;Šiai dienai įregistruoti 775 laikraščiai.; ;;vlkk;;4.171428203582764;3.9437451362609863;-0.22768306732177734;incorrect
39.0;1;Use of Cases;3;3.3 Dative case;3;3.3.3 Dative case should not be used for indicating a specific time limit or moment when purpose is not being expressed.;1;;Iki spalio 25-os dienos nukasta 90% bulvių.;Spalio 25-ai dienai nukasta 90% bulvių.; ;;vlkk;;4.980470180511475;4.926554203033447;-0.053915977478027344;incorrect
40.0;1;Use of Cases;3;3.3 Dative case;3;3.3.3 Dative case should not be used for indicating a specific time limit or moment when purpose is not being expressed.;1;;Šią valandą rinkimų rezultatai dar nepatikslinti.;Šiai valandai rinkimų rezultatai dar nepatikslinti.; ;;vlkk;;3.760282516479492;3.8664984703063965;0.1062159538269043;correct
