sentence_number;phenomenon_type_number;phenomenon_type;linguistic_phenomenon_number;linguistic_phenomenon;error_name_number;error_name;problem_source_number;problem_source;correct_sentence;incorrect_sentence;note_exception;note;origin_of_the_sentence;search_source;BSC-LT_ALIA-40b_correct_nll;BSC-LT_ALIA-40b_incorrect_nll;BSC-LT_ALIA-40b_certainty;BSC-LT_ALIA-40b_decision
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Skaitytojau, parašykite savo nuomonę komentaruose.;Skaitytojas, parašykite savo nuomonę komentaruose.; ;;ChatGPT;;4.068855285644531;4.122949123382568;0.05409383773803711;correct
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Drauge, paskambink man, kai grįši namo.;Draugė, paskambink man, kai grįši namo.; ;;ChatGPT;;3.885272741317749;3.3327503204345703;-0.5525224208831787;incorrect
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Daktare, gal galite paaiškinti tyrimų rezultatus?;Daktaras, gal galite paaiškinti tyrimų rezultatus?; ;;ChatGPT;;5.428246974945068;4.56847620010376;-0.8597707748413086;incorrect
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Direktoriau, ar galėtumėte trumpai užsukti į salę?;Direktorius, ar galėtumėte trumpai užsukti į salę?; ;;ChatGPT;;5.0300703048706055;4.500546932220459;-0.5295233726501465;incorrect
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Mindaugai, ar sudarei sąmatą?;Mindaugas, ar sudarei sąmatą?; ;;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;5.1771650314331055;4.872742176055908;-0.30442285537719727;incorrect
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Tėti, ateik į virtuvę paragauti sriubos.;Tėtis, ateik į virtuvę paragauti sriubos.; ;;ChatGPT;;3.1346848011016846;3.2820827960968018;0.1473979949951172;correct
;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Kas tavo mama, berniuk?;Kas tavo mama, berniukas?; ;;corpus;http://tekstynas.vdu.lt/tekstynas/;5.446826934814453;5.509494781494141;0.0626678466796875;correct
19.0;1;Use of Cases;1;3.1 Nominative case;2;3.1.2 Nominative case should not be used to express direct address.;1;;Ponas pirmininke, čia reikia jūsų parašo.;Pone pirmininke, čia reikia jūsų parašo.;Priedėliu einančio daiktavardžio ponas vardininkas – ne klaida.; ;vlkk;;4.737854480743408;5.549455642700195;0.8116011619567871;correct
20.0;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;1;prieiti ko;Priėjome išvadą.;Priėjome išvados.; ;;vlkk;;8.465551376342773;8.178215026855469;-0.2873363494873047;incorrect
21.0;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;1;prieiti ko;Priėjo bendrą nuomonę.;Priėjo bendros nuomonės.; ;;vlkk;;8.461782455444336;8.526666641235352;0.06488418579101562;correct
22.0;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;2;siekti ko (kiekio reikšme);Žuvies svoris siekė kilogramą.;Žuvies svoris siekė kilogramo.; ;;vlkk;;4.638272762298584;4.862932205200195;0.22465944290161133;correct
;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;1;prieiti ko;Priėjome sprendimą, kad reikia keisti planą.;Priėjome sprendimo, kad reikia keisti planą.; ;;ChatGPT;;4.837653636932373;4.952953815460205;0.11530017852783203;correct
;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;1;prieiti ko;Dalyviai priėjo šalutinį kelią.;Dalyviai priėjo šalutinio kelio.; ;;ChatGPT;;6.134337902069092;6.3578290939331055;0.22349119186401367;correct
;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;1;prieiti ko;Tyrėjai priėjo priežastį, kodėl eksperimentas nepavyko.;Tyrėjai priėjo priežasties, kodėl eksperimentas nepavyko.; ;;ChatGPT;;4.868610858917236;5.309261322021484;0.44065046310424805;correct
;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;2;siekti ko (kiekio reikšme);Vandens gylis siekia penkis metrus.;Vandens gylis siekia penkių metrų.; ;;ChatGPT;;5.552573204040527;6.13367223739624;0.5810990333557129;correct
;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;2;siekti ko (kiekio reikšme);Sienos storis siekia pusę metro.;Sienos storis siekia pusės metro.; ;;ChatGPT;;4.802465438842773;5.541285514831543;0.7388200759887695;correct
;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;2;siekti ko (kiekio reikšme);Oro temperatūra sieks šešis laipsnius šilumos.;Oro temperatūra sieks šešių laipsnių šilumos.; ;;corpus;http://tekstynas.vdu.lt/tekstynas/;5.19657039642334;7.251231670379639;2.054661273956299;correct
23.0;1;Use of Cases;2;3.2 Genitive case;1;3.2.1 Genitive case should not be used to denote the object of an action with certain verbs.;2;siekti ko (kiekio reikšme);Jo ūgis siekia du metrus.;Jo ūgis siekia dviejų metrų.; ;;vlkk;;5.171913146972656;5.711296081542969;0.5393829345703125;correct
24.0;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1; ;Čia telpa daugiau kaip šimtas žmonių.;Čia telpa daugiau šimto žmonių.; ;;vlkk;;4.465969085693359;5.862296104431152;1.396327018737793;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Grįšiu ne vėliau kaip penktadienį.;Grįšiu ne vėliau penktadienio.; ;;vlkk-extra;https://vlkk.lt/konsultacijos/1138-ne-ilgiau-ko;4.868991374969482;6.624741554260254;1.7557501792907715;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Krovinys sveria daugiau nei toną.;Krovinys sveria daugiau tonos.; ;;vlkk-extra;https://vlkk.lt/konsultacijos/1138-ne-ilgiau-ko;3.539694309234619;4.854737281799316;1.3150429725646973;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Kelionė truks ne ilgiau kaip tris dienas.;Kelionė truks ne ilgiau trijų dienų.; ;;vlkk-extra;https://vlkk.lt/konsultacijos/1138-ne-ilgiau-ko;3.639545440673828;4.562839508056641;0.9232940673828125;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Nukeliavo ne mažiau kaip tris šimtus kilometrų. ;Nukeliavo ne mažiau trijų šimtų kilometrų. ; ;;vlkk-extra;https://vlkk.lt/konsultacijos/11178-ne-mazesnis-nemaziau-ne-maziau-nemaziau;5.201138019561768;6.285044193267822;1.0839061737060547;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Bibliotekoje yra daugiau nei penkiasdešimt knygų.;Bibliotekoje yra daugiau penkiasdešimties knygų.; ;;ChatGPT;;3.90480899810791;3.965945243835449;0.06113624572753906;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Rinkimuose dalyvavo ne mažiau kaip tūkstantis žmonių.;Rinkimuose dalyvavo ne mažiau tūkstančio žmonių.; ;;ChatGPT;;3.983095645904541;5.098480701446533;1.1153850555419922;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Išvykusi būsiu mažiau kaip savaitę.;Išvykusi būsiu mažiau savaitės.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1004;4.988279819488525;6.396361351013184;1.4080815315246582;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Ateik ne anksčiau kaip trečią valandą.;Ateik ne anksčiau trečios valandos.; ;;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;5.841311454772949;6.34456729888916;0.5032558441162109;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Net patys ištvermingiausi pasitraukia iš trasos anksčiau negu kiti.;Net patys ištvermingiausi pasitraukia iš trasos anksčiau laiko.; ;;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;4.556525707244873;4.312380790710449;-0.24414491653442383;incorrect
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Jam jūra žemiau kelių.;Jam jūra žemiau kaip keliai.;Su kitos reikšmės daiktavardžiais kilmininkas – ne klaida.; ADDED THE INCORRECT ONE, and it is actually incorrect.;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;9.82034969329834;8.621146202087402;-1.1992034912109375;incorrect
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Toliau savo nosies nemato.;Toliau kaip savo nosis nemato.;Su kitos reikšmės daiktavardžiais kilmininkas – ne klaida.; ADDED THE INCORRECT ONE, and it is actually incorrect.;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;6.682562828063965;6.885554313659668;0.20299148559570312;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Lėktuvas nukrito 6 kilometrai šiauriau Talino.;Lėktuvas nukrito 6 kilometrai šiauriau kaip Talinas.;Kilmininkas leistinas, kai kalbama apie vertikalią padėtį.; ADDED THE INCORRECT ONE, and it is actually incorrect.;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;3.4359397888183594;4.1434197425842285;0.7074799537658691;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Šiame parke auga daugiau nei dešimt medžių.;Šiame parke auga daugiau dešimties medžių.; ; ;ChatGPT;;5.5059404373168945;6.904433727264404;1.3984932899475098;correct
;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Susitikimas truks ne ilgiau kaip dvi valandas.;Susitikimas truks ne ilgiau dviejų valandų.; ;;ChatGPT;;3.192507743835449;3.991666316986084;0.7991585731506348;correct
25.0;1;Use of Cases;2;3.2 Genitive case;2;3.2.2 Genitive case should not be used to express comparative quantity with the comparative adverbs (ne) daugiau, (ne) mažiau, (ne) ilgiau, (ne) vėliau, (ne) anksčiau.;1;;Parašyk ne mažiau kaip penkis puslapius.;Parašyk ne mažiau penkių puslapių.; ;;vlkk;;4.6860761642456055;5.070242881774902;0.3841667175292969;correct
26.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;1;atitikti kam;Nuorašas atitinka originalą.;Nuorašas atitinka originalui.; ;;vlkk;;7.377163410186768;8.201878547668457;0.8247151374816895;correct
27.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;2;neatitikti kam;Pasiūla dar neatitinka paklausos.;Pasiūla dar neatitinka paklausai.; ;;vlkk;;5.836380958557129;6.894065856933594;1.0576848983764648;correct
28.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;3;kreipti dėmesį kam;Daugiausia dėmesio kreipiame į pažangumą.;Daugiausia dėmesio kreipiame pažangumui.; ;;vlkk;;5.603499889373779;6.869521617889404;1.266021728515625;correct
29.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;3;kreipti dėmesį kam;Nekreipkite dėmesio į tą šurmulį.;Nekreipkite dėmesio tam šurmuliui.; ;;vlkk;;3.6350934505462646;4.075372695922852;0.4402792453765869;correct
30.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;4;linkti kam;Jis labai linkęs į mokslą.;Jis labai linkęs mokslui.; ;;vlkk;;4.054414749145508;5.5106611251831055;1.4562463760375977;correct
31.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;5;panašus, -i kam;Sūnus labai panašus į tėvą.;Sūnus labai panašus tėvui.; ;;vlkk;;3.9584403038024902;6.173736572265625;2.2152962684631348;correct
32.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;6;prisitaikyti kam;Mums bus nelengva prisitaikyti prie naujų sąlygų.;Mums bus nelengva prisitaikyti naujoms sąlygoms.; ;;vlkk;;3.5507631301879883;3.928083658218384;0.3773205280303955;correct
33.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;7;sutelkti dėmesį kam;Dabar sutelkime dėmesį į šią schemą.;Dabar sutelkime dėmesį šiai schemai.; ;;vlkk;;3.725032091140747;5.0479583740234375;1.3229262828826904;correct
;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;8;užjausti kam;Jis užjautė nelaimę patyrusius kaimynus.;Jis užjautė nelaimę patyrusiems kaimynams.; ;;ChatGPT;;4.159691333770752;3.9245712757110596;-0.23512005805969238;incorrect
34.0;1;Use of Cases;3;3.3 Dative case;1;3.3.1 Dative case should not be used to denote the object of an action with certain expressions.;8;užjausti kam;Visi užjautėme bendradarbę.;Visi užjautėme bendradarbei.; ;;vlkk;;7.048069000244141;7.52834415435791;0.48027515411376953;correct
35.0;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Jis yra 50 km distancijos čempionas.;Jis yra čempionas 50 km distancijai.; ;;vlkk;;4.301374912261963;4.483692646026611;0.18231773376464844;correct
36.0;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Padarytas 200 litų sumos nuostolis.;Padarytas nuostolis 200 litų sumai.; ;;vlkk;;4.003590106964111;3.4860167503356934;-0.517573356628418;incorrect
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;"Vilnietis Arūnas Černius tapo konkurso „Geriausias vairuotojas-2002"" nugalėtoju.";"Vilnietis Arūnas Černius tapo nugalėtojas konkursui „Geriausias vairuotojas-2002""."; ;;corpus;http://tekstynas.vdu.lt/tekstynas/;2.9686107635498047;3.6450560092926025;0.6764452457427979;correct
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Vakar buvo išduotas leidimas steigti ligoninę.;Vakar buvo išduotas leidimas ligoninei steigti.; ;;internet;http://web.vu.lt › flf › 2014/03 › SK_2015_linksniai;4.530023574829102;4.823728084564209;0.2937045097351074;correct
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Jis laimėjo 1000 eurų vertės prizą.;Jis laimėjo prizą 1000 eurų vertei.; ;;ChatGPT;;3.080921173095703;3.945352077484131;0.8644309043884277;correct
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Įsigijome 2 hektarus žemės sklypo.;Įsigijome žemės sklypą 2 hektarams.; ;;ChatGPT;;3.764667510986328;4.219309329986572;0.45464181900024414;correct
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Ji pelnė metų mokytojos apdovanojimą.;Ji pelnė apdovanojimą metų mokytojai.; ;;ChatGPT;;5.6848273277282715;7.261985778808594;1.5771584510803223;correct
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Jis gavo 10 metų darbo patirties sertifikatą.;Jis gavo sertifikatą 10 metų patirčiai.; ;;ChatGPT;;4.364465713500977;4.146424770355225;-0.21804094314575195;incorrect
;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Restoranas gavo penkių žvaigždučių įvertinimą.;Restoranas gavo įvertinimą penkioms žvaigždutėms.; ;;ChatGPT;;3.112088203430176;4.5150675773620605;1.4029793739318848;correct
37.0;1;Use of Cases;3;3.3 Dative case;2;3.3.2 Dative case should not be used to describe a thing/object when purpose is not being expressed.;1;;Atlikta darbų už 5000 litų sumą.;Atlikta darbų 5000 litų sumai.; ;;vlkk;;4.206993579864502;4.710062503814697;0.5030689239501953;correct
38.0;1;Use of Cases;3;3.3 Dative case;3;3.3.3 Dative case should not be used for indicating a specific time limit or moment when purpose is not being expressed.;1;;Iki šios dienos įregistruoti 775 laikraščiai.;Šiai dienai įregistruoti 775 laikraščiai.; ;;vlkk;;4.805351734161377;4.942957401275635;0.1376056671142578;correct
39.0;1;Use of Cases;3;3.3 Dative case;3;3.3.3 Dative case should not be used for indicating a specific time limit or moment when purpose is not being expressed.;1;;Iki spalio 25-os dienos nukasta 90% bulvių.;Spalio 25-ai dienai nukasta 90% bulvių.; ;;vlkk;;3.9019978046417236;4.206906318664551;0.30490851402282715;correct
40.0;1;Use of Cases;3;3.3 Dative case;3;3.3.3 Dative case should not be used for indicating a specific time limit or moment when purpose is not being expressed.;1;;Šią valandą rinkimų rezultatai dar nepatikslinti.;Šiai valandai rinkimų rezultatai dar nepatikslinti.; ;;vlkk;;4.86046028137207;3.9333622455596924;-0.9270980358123779;incorrect
